,req_t,depart_t,travel_t,arr_t,parking_t,lea_t,charge_label,char_t,req_interval,depart_interval,lea_interval,arr_interval,dest,waiting_time,time_label
36,2022-02-17 01:13:00,2022-02-17 01:28:00,18,2022-02-17 01:46:00,,2022-02-17 02:21:00,1,35.0,9,10,13,11,3,10.733333333333333,
37,2022-02-17 01:22:00,2022-02-17 01:37:00,18,2022-02-17 01:55:00,,2022-02-17 02:32:00,1,37.0,9,10,14,12,3,1.7333333333333334,
38,2022-02-17 01:23:28,2022-02-17 01:38:28,14,2022-02-17 01:52:28,584.4666666666667,2022-02-18 11:36:56,0,,9,10,146,11,3,0.2666666666666666,2.0
39,2022-02-17 01:23:33,2022-02-17 01:38:33,48,2022-02-17 02:26:33,150.88333333333333,2022-02-17 04:57:26,0,,9,10,24,14,2,0.1833333333333333,1.0
40,2022-02-17 01:25:08,2022-02-17 01:40:08,6,2022-02-17 01:46:08,573.1,2022-02-18 11:19:14,0,,10,11,145,11,1,13.6,2.0
41,2022-02-17 01:29:00,2022-02-17 01:44:00,18,2022-02-17 02:02:00,,2022-02-17 02:33:00,1,31.0,10,11,14,12,1,9.733333333333333,
42,2022-02-17 01:34:00,2022-02-17 01:49:00,23,2022-02-17 02:12:00,,2022-02-17 02:52:00,1,40.0,10,11,15,13,3,4.733333333333333,
43,2022-02-17 01:34:00,2022-02-17 01:49:00,0,2022-02-17 01:49:00,,2022-02-17 02:18:00,1,29.0,10,11,13,11,1,4.733333333333333,
44,2022-02-17 01:36:14,2022-02-17 01:51:14,6,2022-02-17 01:57:14,376.0833333333333,2022-02-18 08:13:19,0,,10,11,133,12,1,2.5,2.0
45,2022-02-17 01:37:54,2022-02-17 01:52:54,33,2022-02-17 02:25:54,131.7,2022-02-17 04:37:36,0,,10,11,22,14,2,0.8333333333333334,1.0
46,2022-02-17 01:39:00,2022-02-17 01:54:00,23,2022-02-17 02:17:00,,2022-02-17 02:51:00,1,34.0,11,12,15,13,2,14.733333333333333,
47,2022-02-17 01:41:31,2022-02-17 01:56:31,12,2022-02-17 02:08:31,1382.5166666666669,2022-02-18 01:11:02,0,,11,12,105,12,3,12.216666666666669,3.0
48,2022-02-17 01:41:42,2022-02-17 01:56:42,29,2022-02-17 02:25:42,459.06666666666666,2022-02-18 10:04:46,0,,11,12,140,14,1,12.033333333333331,2.0
49,2022-02-17 01:41:43,2022-02-17 01:56:43,35,2022-02-17 02:31:43,388.3,2022-02-18 09:00:01,0,,11,12,136,14,1,12.016666666666667,2.0
50,2022-02-17 01:46:43,2022-02-17 02:01:43,41,2022-02-17 02:42:43,136.15,2022-02-17 04:58:52,0,,11,12,24,15,3,7.016666666666667,1.0
51,2022-02-17 01:49:41,2022-02-17 02:04:41,26,2022-02-17 02:30:41,5.416666666666667,2022-02-17 02:36:06,0,,11,12,14,14,3,4.05,0.0
52,2022-02-17 01:54:10,2022-02-17 02:09:10,3,2022-02-17 02:12:10,3.466666666666667,2022-02-17 02:15:38,0,,12,13,13,13,3,14.566666666666666,0.0
53,2022-02-17 01:57:00,2022-02-17 02:12:00,18,2022-02-17 02:30:00,,2022-02-17 03:06:00,1,36.0,12,13,16,14,2,11.733333333333333,
54,2022-02-17 02:12:00,2022-02-17 02:27:00,18,2022-02-17 02:45:00,,2022-02-17 03:24:00,1,39.0,13,14,18,15,2,11.733333333333333,
55,2022-02-17 02:18:00,2022-02-17 02:33:00,47,2022-02-17 03:20:00,,2022-02-17 03:56:00,1,36.0,13,14,20,17,1,5.733333333333333,
56,2022-02-17 02:19:00,2022-02-17 02:34:00,18,2022-02-17 02:52:00,,2022-02-17 03:23:00,1,31.0,13,14,17,15,3,4.733333333333333,
57,2022-02-17 02:25:16,2022-02-17 02:40:16,58,2022-02-17 03:38:16,27.2,2022-02-17 04:05:28,0,,14,15,20,18,1,13.466666666666669,0.0
58,2022-02-17 02:29:00,2022-02-17 02:44:00,23,2022-02-17 03:07:00,,2022-02-17 03:46:00,1,39.0,14,15,19,16,1,9.733333333333333,
59,2022-02-17 02:37:47,2022-02-17 02:52:47,25,2022-02-17 03:17:47,1397.6333333333334,2022-02-18 02:35:25,0,,14,15,110,17,3,0.95,3.0
60,2022-02-17 02:39:00,2022-02-17 02:54:00,18,2022-02-17 03:12:00,,2022-02-17 03:50:00,1,38.0,15,16,19,17,2,14.733333333333333,
61,2022-02-17 02:54:00,2022-02-17 03:09:00,18,2022-02-17 03:27:00,857.0,2022-02-17 17:44:00,0,,16,17,75,18,3,14.733333333333333,3.0
62,2022-02-17 02:56:41,2022-02-17 03:11:41,22,2022-02-17 03:33:41,75.13333333333334,2022-02-17 04:48:49,0,,16,17,23,18,2,12.05,1.0
63,2022-02-17 03:01:48,2022-02-17 03:16:48,14,2022-02-17 03:30:48,1307.7166666666667,2022-02-18 01:18:31,0,,16,17,105,18,3,6.933333333333334,3.0
64,2022-02-17 03:04:45,2022-02-17 03:19:45,11,2022-02-17 03:30:45,109.41666666666669,2022-02-18 05:20:10,0,,16,17,121,18,3,3.983333333333333,1.0
65,2022-02-17 03:10:40,2022-02-17 03:25:40,59,2022-02-17 04:24:40,915.4833333333332,2022-02-18 19:40:09,0,,17,18,179,22,1,13.066666666666666,3.0
66,2022-02-17 03:11:45,2022-02-17 03:26:45,18,2022-02-17 03:44:45,741.7166666666667,2022-02-18 16:06:28,0,,17,18,164,19,2,11.983333333333333,3.0
67,2022-02-17 03:12:30,2022-02-17 03:27:30,23,2022-02-17 03:50:30,221.9833333333333,2022-02-18 07:32:29,0,,17,18,130,19,3,11.233333333333333,2.0
68,2022-02-17 03:14:00,2022-02-17 03:29:00,47,2022-02-17 04:16:00,,2022-02-17 04:57:00,1,41.0,17,18,24,21,2,9.733333333333333,
69,2022-02-17 03:20:38,2022-02-17 03:35:38,30,2022-02-17 04:05:38,3.866666666666666,2022-02-18 04:09:30,0,,17,18,117,20,3,3.1,0.0
70,2022-02-17 03:26:00,2022-02-17 03:41:00,18,2022-02-17 03:59:00,,2022-02-17 04:43:00,1,44.0,18,19,23,20,3,12.733333333333333,
71,2022-02-17 03:30:00,2022-02-17 03:45:00,18,2022-02-17 04:03:00,,2022-02-17 04:37:00,1,34.0,18,19,22,20,2,8.733333333333333,
72,2022-02-17 03:31:00,2022-02-17 03:46:00,18,2022-02-17 04:04:00,,2022-02-17 04:30:00,1,26.0,18,19,22,20,1,7.733333333333333,
73,2022-02-17 03:53:18,2022-02-17 04:08:18,42,2022-02-17 04:50:18,30.35,2022-02-18 05:20:39,0,,19,20,121,23,2,0.4333333333333333,0.0
74,2022-02-17 03:56:58,2022-02-17 04:11:58,10,2022-02-17 04:21:58,794.15,2022-02-17 17:36:07,0,,20,21,74,21,3,11.766666666666667,3.0
75,2022-02-17 04:01:00,2022-02-17 04:16:00,47,2022-02-17 05:03:00,,2022-02-17 05:40:00,1,37.0,20,21,27,24,2,7.733333333333333,
76,2022-02-17 04:01:32,2022-02-17 04:16:32,32,2022-02-17 04:48:32,49.333333333333336,2022-02-17 05:37:52,0,,20,21,26,23,2,7.2,0.0
77,2022-02-17 04:02:00,2022-02-17 04:17:00,18,2022-02-17 04:35:00,,2022-02-17 05:10:00,1,35.0,20,21,25,22,3,6.733333333333333,
78,2022-02-17 04:26:00,2022-02-17 04:41:00,23,2022-02-17 05:04:00,,2022-02-17 05:34:00,1,30.0,22,23,26,24,1,12.733333333333333,
79,2022-02-17 04:29:00,2022-02-17 04:44:00,36,2022-02-17 05:20:00,,2022-02-17 05:52:00,1,32.0,22,23,27,25,1,9.733333333333333,
80,2022-02-17 04:29:52,2022-02-17 04:44:52,54,2022-02-17 05:38:52,21.25,2022-02-17 06:00:07,0,,22,23,28,27,3,8.866666666666667,0.0
81,2022-02-17 04:32:06,2022-02-17 04:47:06,9,2022-02-17 04:56:06,20.383333333333333,2022-02-17 05:16:29,0,,22,23,25,24,3,6.633333333333334,0.0
82,2022-02-17 04:46:00,2022-02-17 05:01:00,0,2022-02-17 05:01:00,,2022-02-17 05:33:00,1,32.0,23,24,26,24,3,7.733333333333333,
83,2022-02-17 04:46:00,2022-02-17 05:01:00,18,2022-02-17 05:19:00,,2022-02-17 05:49:00,1,30.0,23,24,27,25,1,7.733333333333333,
84,2022-02-17 04:51:00,2022-02-17 05:06:00,36,2022-02-17 05:42:00,,2022-02-17 06:23:00,1,41.0,23,24,29,27,2,2.7333333333333334,
85,2022-02-17 05:03:40,2022-02-17 05:18:40,2,2022-02-17 05:20:40,95.88333333333334,2022-02-17 06:56:33,0,,24,25,32,25,3,5.066666666666666,1.0
86,2022-02-17 05:05:00,2022-02-17 05:20:00,17,2022-02-17 05:37:00,586.8833333333333,2022-02-18 15:23:53,0,,24,25,162,26,1,3.733333333333333,2.0
87,2022-02-17 05:06:09,2022-02-17 05:21:09,14,2022-02-17 05:35:09,18.33333333333333,2022-02-17 05:53:29,0,,24,25,27,26,2,2.583333333333333,0.0
88,2022-02-17 05:06:25,2022-02-17 05:21:25,12,2022-02-17 05:33:25,68.03333333333333,2022-02-17 06:41:27,0,,24,25,31,26,3,2.316666666666667,1.0
89,2022-02-17 05:15:32,2022-02-17 05:30:32,24,2022-02-17 05:54:32,373.76666666666665,2022-02-18 12:08:18,0,,25,26,148,28,3,8.2,2.0
90,2022-02-17 05:18:22,2022-02-17 05:33:22,17,2022-02-17 05:50:22,248.61666666666667,2022-02-18 09:58:59,0,,25,26,140,27,1,5.366666666666666,2.0
91,2022-02-17 05:21:22,2022-02-17 05:36:22,115,2022-02-17 07:31:22,605.7833333333333,2022-02-18 17:37:09,0,,25,26,170,34,2,2.3666666666666667,3.0
92,2022-02-17 05:23:19,2022-02-17 05:38:19,31,2022-02-17 06:09:19,798.95,2022-02-17 19:28:16,0,,25,26,82,29,2,0.4166666666666667,3.0
93,2022-02-17 05:28:24,2022-02-17 05:43:24,14,2022-02-17 05:57:24,10.85,2022-02-18 06:08:15,0,,26,27,124,28,1,10.333333333333334,0.0
94,2022-02-17 05:31:00,2022-02-17 05:46:00,23,2022-02-17 06:09:00,,2022-02-17 06:40:00,1,31.0,26,27,31,29,1,7.733333333333333,
95,2022-02-17 05:35:16,2022-02-17 05:50:16,16,2022-02-17 06:06:16,48.68333333333333,2022-02-18 06:54:57,0,,26,27,128,28,3,3.466666666666667,0.0
96,2022-02-17 05:35:22,2022-02-17 05:50:22,21,2022-02-17 06:11:22,8.933333333333334,2022-02-17 06:20:18,0,,26,27,29,29,2,3.3666666666666667,0.0
97,2022-02-17 05:38:43,2022-02-17 05:53:43,48,2022-02-17 06:41:43,76.16666666666667,2022-02-18 07:57:53,0,,26,27,132,31,1,0.0166666666666666,1.0
98,2022-02-17 05:40:47,2022-02-17 05:55:47,55,2022-02-17 06:50:47,490.55,2022-02-18 15:01:20,0,,27,28,160,31,1,12.95,2.0
99,2022-02-17 05:40:55,2022-02-17 05:55:55,72,2022-02-17 07:07:55,242.1833333333333,2022-02-17 11:10:06,0,,27,28,49,32,1,12.816666666666666,2.0
100,2022-02-17 05:43:35,2022-02-17 05:58:35,54,2022-02-17 06:52:35,581.8166666666667,2022-02-17 16:34:24,0,,27,28,70,31,2,10.15,2.0
101,2022-02-17 05:45:00,2022-02-17 06:00:00,18,2022-02-17 06:18:00,,2022-02-17 06:48:00,1,30.0,27,28,31,29,2,8.733333333333333,
102,2022-02-17 05:45:00,2022-02-17 06:00:00,36,2022-02-17 06:36:00,,2022-02-17 07:08:00,1,32.0,27,28,32,30,3,8.733333333333333,
103,2022-02-17 05:45:41,2022-02-17 06:00:41,66,2022-02-17 07:06:41,680.3666666666667,2022-02-18 18:27:03,0,,27,28,174,32,2,8.05,3.0
104,2022-02-17 05:45:55,2022-02-17 06:00:55,75,2022-02-17 07:15:55,269.93333333333334,2022-02-17 11:45:51,0,,27,28,51,33,1,7.816666666666666,2.0
105,2022-02-17 05:46:39,2022-02-17 06:01:39,16,2022-02-17 06:17:39,120.8,2022-02-17 08:18:27,0,,27,28,37,29,2,7.083333333333333,1.0
106,2022-02-17 05:47:49,2022-02-17 06:02:49,31,2022-02-17 06:33:49,132.83333333333334,2022-02-18 08:46:39,0,,27,28,135,30,1,5.916666666666667,1.0
107,2022-02-17 05:48:49,2022-02-17 06:03:49,25,2022-02-17 06:28:49,66.53333333333333,2022-02-18 07:35:21,0,,27,28,130,30,1,4.916666666666667,1.0
108,2022-02-17 05:50:00,2022-02-17 06:05:00,47,2022-02-17 06:52:00,,2022-02-17 07:21:00,1,29.0,27,28,33,31,1,3.733333333333333,
109,2022-02-17 05:50:41,2022-02-17 06:05:41,7,2022-02-17 06:12:41,482.01666666666665,2022-02-18 14:14:42,0,,27,28,157,29,3,3.05,2.0
110,2022-02-17 05:53:03,2022-02-17 06:08:03,22,2022-02-17 06:30:03,432.2,2022-02-17 13:42:15,0,,27,28,59,30,2,0.6833333333333333,2.0
111,2022-02-17 05:53:22,2022-02-17 06:08:22,81,2022-02-17 07:29:22,578.1166666666667,2022-02-17 17:07:29,0,,27,28,72,34,1,0.3666666666666666,2.0
112,2022-02-17 05:53:54,2022-02-17 06:08:54,87,2022-02-17 07:35:54,480.6833333333333,2022-02-18 15:36:35,0,,28,29,162,34,2,14.833333333333334,2.0
113,2022-02-17 05:55:39,2022-02-17 06:10:39,116,2022-02-17 08:06:39,386.15,2022-02-17 14:32:48,0,,28,29,62,36,2,13.083333333333334,2.0
114,2022-02-17 05:57:38,2022-02-17 06:12:38,13,2022-02-17 06:25:38,85.31666666666666,2022-02-17 07:50:57,0,,28,29,35,30,2,11.1,1.0
115,2022-02-17 05:57:39,2022-02-17 06:12:39,18,2022-02-17 06:30:39,793.0666666666667,2022-02-18 19:43:43,0,,28,29,179,30,3,11.083333333333334,3.0
116,2022-02-17 05:58:00,2022-02-17 06:13:00,23,2022-02-17 06:36:00,,2022-02-17 07:05:00,1,29.0,28,29,32,30,3,10.733333333333333,
117,2022-02-17 06:01:21,2022-02-17 06:16:21,12,2022-02-17 06:28:21,13.916666666666666,2022-02-18 06:42:16,0,,28,29,127,30,1,7.383333333333334,0.0
118,2022-02-17 06:03:07,2022-02-17 06:18:07,59,2022-02-17 07:17:07,494.03333333333336,2022-02-17 15:31:09,0,,28,29,66,33,1,5.616666666666666,2.0
119,2022-02-17 06:04:07,2022-02-17 06:19:07,13,2022-02-17 06:32:07,147.6,2022-02-18 08:59:43,0,,28,29,136,30,1,4.616666666666666,1.0
120,2022-02-17 06:05:48,2022-02-17 06:20:48,75,2022-02-17 07:35:48,404.26666666666665,2022-02-18 14:20:04,0,,28,29,157,34,2,2.933333333333333,2.0
121,2022-02-17 06:07:00,2022-02-17 06:22:00,36,2022-02-17 06:58:00,,2022-02-17 07:29:00,1,31.0,28,29,34,32,3,1.7333333333333334,
122,2022-02-17 06:11:44,2022-02-17 06:26:44,25,2022-02-17 06:51:44,947.95,2022-02-17 22:39:41,0,,29,30,95,31,3,12.0,3.0
123,2022-02-17 06:14:23,2022-02-17 06:29:23,110,2022-02-17 08:19:23,296.9166666666667,2022-02-18 13:16:18,0,,29,30,153,37,2,9.35,2.0
124,2022-02-17 06:19:48,2022-02-17 06:34:48,84,2022-02-17 07:58:48,439.8333333333333,2022-02-18 15:18:38,0,,29,30,161,36,2,3.933333333333333,2.0
125,2022-02-17 06:21:10,2022-02-17 06:36:10,12,2022-02-17 06:48:10,529.9166666666666,2022-02-18 15:38:05,0,,29,30,162,31,2,2.566666666666667,2.0
126,2022-02-17 06:22:29,2022-02-17 06:37:29,35,2022-02-17 07:12:29,12.666666666666666,2022-02-17 07:25:09,0,,29,30,34,33,1,1.25,0.0
127,2022-02-17 06:23:08,2022-02-17 06:38:08,70,2022-02-17 07:48:08,609.3833333333333,2022-02-18 17:57:31,0,,29,30,172,35,1,0.6,3.0
128,2022-02-17 06:24:22,2022-02-17 06:39:22,18,2022-02-17 06:57:22,486.4,2022-02-17 15:03:46,0,,30,31,64,32,2,14.366666666666667,2.0
129,2022-02-17 06:24:31,2022-02-17 06:39:31,21,2022-02-17 07:00:31,738.8333333333334,2022-02-17 19:19:21,0,,30,31,81,32,1,14.216666666666669,3.0
130,2022-02-17 06:25:09,2022-02-17 06:40:09,24,2022-02-17 07:04:09,289.6333333333333,2022-02-18 11:53:47,0,,30,31,148,32,3,13.583333333333334,2.0
131,2022-02-17 06:26:20,2022-02-17 06:41:20,115,2022-02-17 08:36:20,541.9333333333333,2022-02-17 17:38:16,0,,30,31,74,38,1,12.4,2.0
132,2022-02-17 06:26:23,2022-02-17 06:41:23,7,2022-02-17 06:48:23,328.9833333333333,2022-02-17 12:17:22,0,,30,31,53,31,1,12.35,2.0
133,2022-02-17 06:27:55,2022-02-17 06:42:55,47,2022-02-17 07:29:55,647.0833333333334,2022-02-18 18:17:00,0,,30,31,173,34,2,10.816666666666666,3.0
134,2022-02-17 06:28:15,2022-02-17 06:43:15,98,2022-02-17 08:21:15,3.616666666666666,2022-02-17 08:24:52,0,,30,31,38,37,1,10.483333333333333,0.0
135,2022-02-17 06:28:39,2022-02-17 06:43:39,78,2022-02-17 08:01:39,434.1333333333333,2022-02-18 15:15:47,0,,30,31,161,36,3,10.083333333333334,2.0
136,2022-02-17 06:28:46,2022-02-17 06:43:46,14,2022-02-17 06:57:46,726.2,2022-02-17 19:03:58,0,,30,31,80,32,3,9.966666666666669,3.0
137,2022-02-17 06:28:48,2022-02-17 06:43:48,53,2022-02-17 07:36:48,714.5166666666667,2022-02-18 19:31:19,0,,30,31,178,34,3,9.933333333333334,3.0
138,2022-02-17 06:29:03,2022-02-17 06:44:03,21,2022-02-17 07:05:03,407.4666666666666,2022-02-17 13:52:31,0,,30,31,59,32,3,9.683333333333334,2.0
139,2022-02-17 06:29:12,2022-02-17 06:44:12,88,2022-02-17 08:12:12,198.61666666666667,2022-02-18 11:30:49,0,,30,31,146,37,2,9.533333333333331,2.0
140,2022-02-17 06:29:47,2022-02-17 06:44:47,70,2022-02-17 07:54:47,264.3833333333333,2022-02-17 12:19:10,0,,30,31,53,36,2,8.95,2.0
141,2022-02-17 06:30:53,2022-02-17 06:45:53,43,2022-02-17 07:28:53,549.9666666666667,2022-02-18 16:38:51,0,,30,31,167,34,3,7.85,2.0
142,2022-02-17 06:31:00,2022-02-17 06:46:00,35,2022-02-17 07:21:00,229.78333333333333,2022-02-17 11:10:47,0,,30,31,49,33,3,7.733333333333333,2.0
143,2022-02-17 06:32:00,2022-02-17 06:47:00,83,2022-02-17 08:10:00,491.25,2022-02-18 16:21:15,0,,30,31,165,37,1,6.733333333333333,2.0
144,2022-02-17 06:33:13,2022-02-17 06:48:13,70,2022-02-17 07:58:13,516.0833333333334,2022-02-17 16:34:18,0,,30,31,70,36,2,5.516666666666667,2.0
145,2022-02-17 06:33:47,2022-02-17 06:48:47,37,2022-02-17 07:25:47,613.35,2022-02-18 17:39:08,0,,30,31,171,34,3,4.95,3.0
146,2022-02-17 06:34:00,2022-02-17 06:49:00,0,2022-02-17 06:49:00,,2022-02-17 07:22:00,1,33.0,30,31,33,31,1,4.733333333333333,
147,2022-02-17 06:34:02,2022-02-17 06:49:02,52,2022-02-17 07:41:02,230.36666666666667,2022-02-18 11:31:24,0,,30,31,146,35,1,4.7,2.0
148,2022-02-17 06:34:36,2022-02-17 06:49:36,73,2022-02-17 08:02:36,617.95,2022-02-18 18:20:33,0,,30,31,173,36,3,4.133333333333334,3.0
149,2022-02-17 06:35:03,2022-02-17 06:50:03,39,2022-02-17 07:29:03,1423.5,2022-02-18 07:12:33,0,,30,31,129,34,2,3.683333333333333,3.0
150,2022-02-17 06:35:57,2022-02-17 06:50:57,77,2022-02-17 08:07:57,890.0,2022-02-18 22:57:57,0,,30,31,192,36,2,2.783333333333333,3.0
151,2022-02-17 06:36:04,2022-02-17 06:51:04,74,2022-02-17 08:05:04,5.95,2022-02-17 08:11:01,0,,30,31,37,36,2,2.6666666666666665,0.0
152,2022-02-17 06:36:59,2022-02-17 06:51:59,65,2022-02-17 07:56:59,468.1333333333333,2022-02-17 15:45:07,0,,30,31,67,36,2,1.75,2.0
153,2022-02-17 06:38:47,2022-02-17 06:53:47,58,2022-02-17 07:51:47,645.2833333333333,2022-02-17 18:37:04,0,,31,32,78,35,3,14.95,3.0
154,2022-02-17 06:40:16,2022-02-17 06:55:16,65,2022-02-17 08:00:16,1250.5666666666666,2022-02-18 04:50:50,0,,31,32,119,36,2,13.466666666666669,3.0
155,2022-02-17 06:41:00,2022-02-17 06:56:00,18,2022-02-17 07:14:00,,2022-02-17 07:45:00,1,31.0,31,32,35,33,1,12.733333333333333,
156,2022-02-17 06:41:00,2022-02-17 06:56:00,12,2022-02-17 07:08:00,447.15,2022-02-18 14:35:09,0,,31,32,158,32,3,12.733333333333333,2.0
157,2022-02-17 06:41:15,2022-02-17 06:56:15,13,2022-02-17 07:09:15,570.25,2022-02-18 16:39:30,0,,31,32,167,33,1,12.483333333333333,2.0
158,2022-02-17 06:41:52,2022-02-17 06:56:52,110,2022-02-17 08:46:52,511.15,2022-02-17 17:18:01,0,,31,32,73,39,1,11.866666666666667,2.0
159,2022-02-17 06:42:21,2022-02-17 06:57:21,58,2022-02-17 07:55:21,773.35,2022-02-17 20:48:42,0,,31,32,87,36,3,11.383333333333333,3.0
160,2022-02-17 06:42:51,2022-02-17 06:57:51,60,2022-02-17 07:57:51,551.5,2022-02-17 17:09:21,0,,31,32,73,36,2,10.883333333333333,2.0
161,2022-02-17 06:43:48,2022-02-17 06:58:48,48,2022-02-17 07:46:48,306.25,2022-02-17 12:53:03,0,,31,32,55,35,1,9.933333333333334,2.0
